,LSOA,Anti Semitic,Disability,Faith,Homophobic,Islamophobic,Racist,Transgender,Total All Incidents
3867,E01003984,,66.0,64.0,46.0,35.0,163.0,,374.0
3868,E01003986,,,125.0,72.0,,70.0,42.0,309.0
3869,E01003987,,31.0,,73.0,,121.0,,225.0
3870,E01003988,,,62.0,78.0,,151.0,,291.0
3871,E01003989,,36.0,123.0,84.0,76.0,134.0,,453.0
3872,E01003990,,,,40.0,,110.0,,150.0
3873,E01003991,,,65.0,33.0,45.0,76.0,41.0,260.0
3874,E01003992,,,,35.0,,119.0,40.0,194.0
3875,E01003993,,,,38.0,,69.0,,107.0
3876,E01003994,156.0,35.0,59.0,36.0,46.0,152.0,,484.0
3877,E01003995,,,63.0,37.0,41.0,77.0,,218.0
3878,E01003997,,,,84.0,,96.0,42.0,222.0
3879,E01003998,143.0,,67.0,79.0,,75.0,,364.0
3880,E01003999,,,75.0,37.0,42.0,76.0,,230.0
3881,E01004000,146.0,,66.0,30.0,,86.0,,328.0
3882,E01004001,,70.0,,46.0,,83.0,,199.0
3883,E01004002,,,,40.0,,125.0,,165.0
3884,E01004003,,36.0,62.0,35.0,32.0,77.0,,242.0
3885,E01004004,,46.0,,83.0,,156.0,,285.0
3886,E01004005,,134.0,62.0,35.0,37.0,148.0,,416.0
3887,E01004006,,31.0,,117.0,,95.0,,243.0
3888,E01004007,,34.0,56.0,38.0,,89.0,,217.0
3889,E01004008,,,124.0,120.0,91.0,74.0,,409.0
3890,E01004010,,84.0,127.0,118.0,74.0,154.0,,557.0
3891,E01004011,,,61.0,,,84.0,,145.0
3892,E01004012,156.0,,56.0,74.0,,109.0,,395.0
3893,E01004013,,,67.0,83.0,33.0,159.0,,342.0
3894,E01004014,,34.0,66.0,,40.0,36.0,,176.0
3895,E01004015,,,,81.0,,42.0,,123.0
3896,E01004016,,,54.0,42.0,33.0,106.0,,235.0
3897,E01004017,,,,,,121.0,,121.0
3898,E01004018,,,58.0,,36.0,158.0,,252.0
3899,E01004019,,,,40.0,,37.0,,77.0
3900,E01004020,,,,84.0,,126.0,,210.0
3901,E01004021,,,,39.0,,115.0,,154.0
3902,E01004022,,80.0,62.0,44.0,34.0,166.0,39.0,425.0
3903,E01004023,,107.0,61.0,40.0,33.0,136.0,,377.0
3904,E01004024,,37.0,,37.0,,123.0,,197.0
3905,E01004027,316.0,87.0,203.0,158.0,131.0,193.0,83.0,1171.0
3906,E01004028,,,,43.0,,76.0,,119.0
3907,E01004029,,,,42.0,,161.0,,203.0
3908,E01004030,,,,39.0,,116.0,,155.0
3909,E01004031,474.0,,196.0,50.0,44.0,208.0,,972.0
3910,E01004032,156.0,,63.0,44.0,,126.0,,389.0
3911,E01004033,,36.0,63.0,67.0,41.0,121.0,,328.0
3912,E01004034,,32.0,,30.0,,97.0,,159.0
3913,E01004035,,,,46.0,,160.0,,206.0
3914,E01004036,,37.0,187.0,,85.0,163.0,,472.0
3915,E01004037,,,62.0,33.0,,169.0,,264.0
3916,E01004038,146.0,38.0,49.0,64.0,,120.0,,417.0
3917,E01004039,,,,,,35.0,,35.0
3918,E01004040,,37.0,123.0,41.0,76.0,149.0,40.0,466.0
3919,E01004041,,,59.0,80.0,36.0,90.0,,265.0
3920,E01004042,,70.0,75.0,37.0,34.0,115.0,,331.0
3921,E01004043,,,59.0,123.0,46.0,84.0,,312.0
3922,E01004044,,,65.0,,40.0,94.0,33.0,232.0
3923,E01004045,,,,39.0,,71.0,,110.0
3924,E01004046,,,52.0,43.0,45.0,70.0,,210.0
3925,E01004047,,,,,,79.0,,79.0
3926,E01004048,,,117.0,74.0,75.0,130.0,,396.0
3927,E01004049,,,,44.0,,161.0,,205.0
3928,E01004050,,,67.0,36.0,,134.0,,237.0
3929,E01004051,,38.0,,69.0,,92.0,,199.0
3930,E01004052,,69.0,57.0,83.0,34.0,55.0,,298.0
3931,E01004053,,,,39.0,,108.0,,147.0
3932,E01004054,,,,81.0,,110.0,37.0,228.0
3933,E01004055,,,66.0,40.0,39.0,73.0,,218.0
3934,E01004056,,,55.0,37.0,46.0,169.0,44.0,351.0
3935,E01004057,159.0,,63.0,38.0,,75.0,,335.0
3936,E01004058,,,,38.0,,83.0,,121.0
3937,E01004059,,,71.0,61.0,37.0,78.0,,247.0
3938,E01004060,162.0,,64.0,79.0,40.0,76.0,45.0,466.0
3939,E01004061,152.0,33.0,127.0,43.0,36.0,201.0,,592.0
3940,E01004062,,28.0,258.0,160.0,104.0,105.0,35.0,690.0
3941,E01004063,,,65.0,45.0,41.0,153.0,,304.0
3942,E01004064,,77.0,,40.0,,166.0,,283.0
3943,E01004065,,,67.0,44.0,29.0,74.0,,214.0
3944,E01004066,159.0,32.0,120.0,72.0,34.0,159.0,,576.0
3945,E01004067,166.0,,248.0,66.0,154.0,168.0,80.0,882.0
3946,E01004068,,,120.0,39.0,40.0,118.0,,317.0
3947,E01004069,,,,36.0,,36.0,,72.0
3948,E01004070,187.0,,64.0,,,106.0,,357.0
3949,E01004071,,34.0,,38.0,,132.0,,204.0
3950,E01004072,,,,67.0,,114.0,,181.0
3951,E01004073,,,,41.0,,78.0,,119.0
3952,E01004074,,,58.0,40.0,42.0,173.0,,313.0
3953,E01004075,,,,,,86.0,,86.0
3954,E01004076,,45.0,126.0,37.0,36.0,106.0,,350.0
3955,E01004077,,,60.0,,36.0,121.0,,217.0
3956,E01004078,,38.0,,33.0,,105.0,,176.0
