,LSOA,Anti Semitic,Disability,Faith,Homophobic,Islamophobic,Racist,Transgender,Total All Incidents
860,E01000885,165.0,,58.0,,,34.0,,257.0
861,E01000886,,,60.0,35.0,35.0,32.0,,162.0
862,E01000887,142.0,,59.0,35.0,44.0,74.0,,354.0
863,E01000888,,105.0,81.0,,41.0,43.0,,270.0
864,E01000889,168.0,,63.0,40.0,,128.0,,399.0
865,E01000890,,,69.0,80.0,40.0,86.0,35.0,310.0
866,E01000891,,,122.0,85.0,83.0,153.0,,443.0
867,E01000892,,75.0,,37.0,,106.0,,218.0
868,E01000893,173.0,,55.0,79.0,40.0,69.0,,416.0
869,E01000894,158.0,40.0,56.0,40.0,,90.0,,384.0
870,E01000895,474.0,,250.0,83.0,87.0,117.0,,1011.0
871,E01000896,350.0,36.0,114.0,78.0,,126.0,37.0,741.0
872,E01000897,141.0,,53.0,37.0,,123.0,,354.0
873,E01000898,473.0,37.0,187.0,66.0,76.0,146.0,,985.0
874,E01000899,328.0,,109.0,51.0,,82.0,,570.0
875,E01000900,,,189.0,70.0,118.0,122.0,,499.0
876,E01000901,,,120.0,117.0,81.0,176.0,45.0,539.0
877,E01000902,,35.0,,121.0,,109.0,38.0,303.0
878,E01000903,168.0,40.0,58.0,81.0,,88.0,,435.0
879,E01000904,,36.0,62.0,72.0,38.0,158.0,43.0,409.0
880,E01000905,307.0,,199.0,42.0,84.0,133.0,45.0,810.0
881,E01000906,300.0,75.0,118.0,37.0,43.0,111.0,,684.0
882,E01000907,,,63.0,47.0,36.0,156.0,46.0,348.0
883,E01000908,152.0,38.0,63.0,40.0,35.0,80.0,,408.0
884,E01000909,,44.0,,45.0,,74.0,,163.0
885,E01000910,,,68.0,39.0,36.0,75.0,,218.0
886,E01000911,,,,36.0,,78.0,43.0,157.0
887,E01000912,155.0,,121.0,37.0,49.0,66.0,,428.0
888,E01000913,653.0,77.0,238.0,38.0,37.0,145.0,51.0,1239.0
889,E01000914,302.0,40.0,200.0,155.0,123.0,190.0,35.0,1045.0
890,E01000915,321.0,36.0,183.0,80.0,87.0,161.0,,868.0
891,E01000916,494.0,67.0,188.0,84.0,73.0,166.0,73.0,1145.0
892,E01000917,142.0,,132.0,112.0,39.0,154.0,35.0,614.0
893,E01000918,463.0,37.0,251.0,172.0,88.0,174.0,41.0,1226.0
894,E01000919,146.0,,141.0,151.0,88.0,196.0,81.0,803.0
895,E01000920,,72.0,63.0,75.0,38.0,82.0,,330.0
896,E01000921,146.0,,116.0,38.0,71.0,115.0,,486.0
897,E01000922,313.0,36.0,109.0,105.0,35.0,169.0,40.0,807.0
898,E01000923,,35.0,57.0,37.0,48.0,82.0,,259.0
899,E01000924,321.0,35.0,172.0,,39.0,146.0,,713.0
900,E01000925,,39.0,,46.0,,42.0,,127.0
901,E01000926,,44.0,135.0,86.0,80.0,207.0,,552.0
902,E01000927,304.0,,136.0,49.0,,125.0,38.0,652.0
903,E01000928,311.0,,110.0,86.0,41.0,163.0,,711.0
904,E01000929,157.0,,66.0,38.0,,107.0,,368.0
905,E01000930,467.0,37.0,294.0,82.0,155.0,208.0,,1243.0
906,E01000931,155.0,69.0,121.0,37.0,71.0,198.0,,651.0
907,E01000932,,,,85.0,,112.0,,197.0
908,E01000933,,33.0,125.0,76.0,40.0,116.0,,390.0
909,E01000934,159.0,,73.0,,29.0,115.0,,376.0
910,E01000935,,,,32.0,,41.0,,73.0
911,E01000936,,,60.0,,41.0,44.0,38.0,183.0
912,E01000937,,,57.0,42.0,44.0,103.0,,246.0
913,E01000938,181.0,71.0,129.0,75.0,41.0,182.0,35.0,714.0
914,E01000939,,33.0,121.0,37.0,72.0,215.0,94.0,572.0
915,E01000940,,,69.0,43.0,48.0,50.0,,210.0
916,E01000941,,35.0,51.0,31.0,46.0,84.0,,247.0
917,E01000942,163.0,68.0,181.0,36.0,31.0,118.0,,597.0
918,E01000943,,,,82.0,,150.0,41.0,273.0
919,E01000944,,35.0,119.0,44.0,42.0,116.0,,356.0
920,E01000945,165.0,46.0,250.0,78.0,165.0,143.0,35.0,882.0
921,E01000946,135.0,79.0,193.0,129.0,75.0,185.0,,796.0
922,E01000947,160.0,39.0,192.0,116.0,111.0,181.0,39.0,838.0
923,E01000948,,38.0,57.0,92.0,38.0,86.0,,311.0
924,E01000949,,,120.0,75.0,,119.0,41.0,355.0
925,E01000950,,,55.0,35.0,40.0,118.0,,248.0
926,E01000951,,,,37.0,,36.0,33.0,106.0
927,E01000952,288.0,,174.0,50.0,121.0,103.0,,736.0
928,E01000953,170.0,118.0,102.0,67.0,42.0,249.0,37.0,785.0
929,E01000954,,73.0,65.0,77.0,34.0,113.0,,362.0
930,E01000955,,45.0,56.0,44.0,38.0,138.0,,321.0
931,E01000956,,43.0,117.0,41.0,83.0,179.0,40.0,503.0
932,E01000957,,32.0,126.0,48.0,37.0,76.0,,319.0
933,E01000958,161.0,35.0,128.0,79.0,79.0,164.0,40.0,686.0
934,E01000959,,36.0,63.0,,,34.0,49.0,182.0
935,E01000960,585.0,,250.0,37.0,40.0,163.0,44.0,1119.0
936,E01000961,144.0,,64.0,40.0,37.0,158.0,,443.0
937,E01000962,156.0,,50.0,,,77.0,,283.0
938,E01000963,303.0,,204.0,33.0,74.0,112.0,37.0,763.0
939,E01000964,,,,,,67.0,,67.0
940,E01000965,,30.0,69.0,,,78.0,,177.0
941,E01000966,332.0,,134.0,,,120.0,,586.0
942,E01000967,330.0,,109.0,,,110.0,,549.0
943,E01000968,,32.0,67.0,66.0,38.0,134.0,,337.0
944,E01000969,476.0,,195.0,73.0,37.0,179.0,,960.0
945,E01000970,,,,,,74.0,,74.0
946,E01000971,,,,46.0,,35.0,,81.0
947,E01000972,481.0,36.0,161.0,77.0,40.0,198.0,,993.0
948,E01000973,298.0,,128.0,168.0,79.0,231.0,48.0,952.0
949,E01000974,146.0,,60.0,85.0,40.0,78.0,38.0,447.0
950,E01000975,,40.0,51.0,,36.0,136.0,,263.0
951,E01000976,,,107.0,77.0,83.0,123.0,,390.0
952,E01000977,,38.0,,,,78.0,37.0,153.0
953,E01000978,,,66.0,43.0,40.0,75.0,,224.0
954,E01000979,,,,39.0,,124.0,45.0,208.0
955,E01000980,,,64.0,,42.0,83.0,,189.0
956,E01000981,,,60.0,,42.0,89.0,,191.0
957,E01000982,,43.0,,,,109.0,,152.0
958,E01000983,,,,,,99.0,39.0,138.0
959,E01000984,,,,35.0,,74.0,,109.0
960,E01000985,,,,,,34.0,,34.0
961,E01000986,,,202.0,,118.0,103.0,,423.0
962,E01000987,,,,,,75.0,,75.0
963,E01000989,,,,,,122.0,,122.0
964,E01000990,163.0,40.0,59.0,,,85.0,,347.0
965,E01000991,,,,,,37.0,,37.0
966,E01000992,,36.0,,76.0,,111.0,,223.0
967,E01000993,,32.0,64.0,42.0,,161.0,,299.0
968,E01000994,,,64.0,46.0,43.0,84.0,,237.0
969,E01000995,,,67.0,,44.0,67.0,,178.0
970,E01000996,,,,,,73.0,,73.0
971,E01000997,,,,,,36.0,,36.0
972,E01000998,,29.0,,82.0,,163.0,,274.0
973,E01000999,,,,,,114.0,35.0,149.0
974,E01001000,,,121.0,39.0,32.0,81.0,44.0,317.0
975,E01001001,,35.0,,82.0,,124.0,,241.0
976,E01001002,,,66.0,89.0,,78.0,,233.0
977,E01001003,,35.0,,,,110.0,,145.0
978,E01001004,,,71.0,,37.0,181.0,,289.0
979,E01001005,,,62.0,73.0,36.0,153.0,,324.0
980,E01001006,,,,40.0,,72.0,,112.0
981,E01001007,,,118.0,79.0,74.0,111.0,,382.0
982,E01001008,,44.0,118.0,,73.0,171.0,,406.0
983,E01001009,,,,,,123.0,,123.0
984,E01001010,,37.0,62.0,42.0,40.0,207.0,43.0,431.0
985,E01001011,,48.0,52.0,,33.0,126.0,,259.0
986,E01001012,,,140.0,,78.0,77.0,,295.0
987,E01001013,,42.0,63.0,89.0,42.0,195.0,,431.0
988,E01001014,302.0,69.0,187.0,126.0,29.0,208.0,71.0,992.0
989,E01001015,,,124.0,,87.0,80.0,,291.0
990,E01001016,,,68.0,40.0,37.0,83.0,,228.0
991,E01001017,,,68.0,,35.0,,,103.0
992,E01001018,,,,,,76.0,,76.0
993,E01001019,,,,,,40.0,,40.0
994,E01001020,,,57.0,43.0,,121.0,,221.0
995,E01001021,,79.0,,,,78.0,,157.0
996,E01001022,,43.0,,,,90.0,,133.0
997,E01001023,159.0,43.0,61.0,44.0,44.0,115.0,42.0,508.0
998,E01001024,170.0,,54.0,,,78.0,,302.0
999,E01001025,,,111.0,,,38.0,,149.0
1000,E01001026,,,56.0,38.0,42.0,76.0,,212.0
1001,E01001027,,,122.0,,35.0,89.0,,246.0
1002,E01001028,,40.0,,39.0,,44.0,,123.0
1003,E01001029,,,,,,88.0,,88.0
1004,E01001030,,,,,,41.0,,41.0
1005,E01001031,,30.0,,,,42.0,,72.0
1006,E01001032,,,,,,35.0,,35.0
1007,E01001033,,,64.0,35.0,34.0,126.0,,259.0
1008,E01001034,,,,34.0,,122.0,,156.0
1009,E01001035,,,58.0,41.0,42.0,69.0,,210.0
1010,E01001036,,39.0,,45.0,,83.0,,167.0
1011,E01001037,,,55.0,43.0,45.0,119.0,,262.0
1012,E01001038,,40.0,62.0,,38.0,76.0,,216.0
1013,E01001039,,,139.0,,86.0,127.0,,352.0
1014,E01001040,,,,44.0,,106.0,,150.0
1015,E01001041,170.0,66.0,66.0,,36.0,82.0,,420.0
1016,E01001042,,25.0,126.0,72.0,82.0,170.0,36.0,511.0
1017,E01001043,167.0,121.0,77.0,42.0,44.0,183.0,40.0,674.0
1018,E01001044,,42.0,,45.0,,163.0,,250.0
1019,E01001045,166.0,46.0,175.0,78.0,119.0,178.0,42.0,804.0
1020,E01001046,,,60.0,126.0,,86.0,,272.0
1021,E01001047,,,59.0,32.0,35.0,106.0,41.0,273.0
1022,E01001048,,74.0,245.0,43.0,149.0,199.0,35.0,745.0
1023,E01001049,,39.0,,31.0,,123.0,39.0,232.0
1024,E01001050,,36.0,,89.0,,84.0,107.0,316.0
1025,E01001051,,,,40.0,,86.0,,126.0
1026,E01001052,,,,37.0,,117.0,,154.0
1027,E01001053,,,,42.0,,127.0,,169.0
1028,E01001054,,41.0,67.0,,34.0,32.0,,174.0
1029,E01001055,,30.0,62.0,,48.0,36.0,,176.0
1030,E01001056,,,,83.0,,80.0,,163.0
1031,E01001057,,,,75.0,,117.0,,192.0
1032,E01001058,,,,,,40.0,,40.0
1033,E01001059,,,62.0,,37.0,118.0,,217.0
1034,E01001060,,,66.0,41.0,40.0,125.0,,272.0
1035,E01001061,,42.0,,,,46.0,,88.0
1036,E01001062,,,,41.0,,145.0,,186.0
1037,E01001063,,,,,,66.0,,66.0
1038,E01001064,,,61.0,34.0,37.0,125.0,,257.0
1039,E01001065,,34.0,,42.0,,78.0,,154.0
1040,E01001066,,,,,,86.0,,86.0
1041,E01001067,,,,,,43.0,,43.0
1042,E01001068,,33.0,,39.0,,84.0,,156.0
1043,E01001069,,42.0,,44.0,,38.0,,124.0
1044,E01001070,,,,,,87.0,,87.0
1045,E01001071,,,,,,38.0,38.0,76.0
1046,E01001072,,,60.0,,,38.0,,98.0
1047,E01001073,,,,,,77.0,,77.0
1048,E01001074,,,,36.0,,122.0,,158.0
1049,E01001075,,,,41.0,,84.0,,125.0
1050,E01001076,,85.0,214.0,86.0,116.0,155.0,,656.0
1051,E01001077,,,,41.0,,121.0,,162.0
1052,E01001078,,25.0,65.0,38.0,48.0,166.0,,342.0
1053,E01001079,,,,30.0,,123.0,,153.0
1054,E01001080,,30.0,68.0,43.0,,115.0,,256.0
1055,E01001081,,39.0,,27.0,,40.0,,106.0
1056,E01001082,,70.0,,37.0,,105.0,,212.0
1057,E01001083,,,,,,38.0,,38.0
1058,E01001084,,,56.0,44.0,41.0,74.0,,215.0
1059,E01001085,,,61.0,44.0,37.0,78.0,,220.0
1060,E01001086,,,54.0,,40.0,114.0,,208.0
1061,E01001087,,,184.0,41.0,65.0,123.0,,413.0
1062,E01001088,144.0,38.0,69.0,,,130.0,,381.0
1063,E01001089,,75.0,125.0,37.0,83.0,146.0,,466.0
1064,E01001090,,,124.0,,86.0,147.0,,357.0
1065,E01001091,144.0,,130.0,119.0,34.0,116.0,,543.0
1066,E01001092,,,72.0,40.0,38.0,147.0,,297.0
1067,E01001093,,,62.0,,51.0,79.0,47.0,239.0
1068,E01001094,,33.0,,,,133.0,,166.0
1069,E01001095,,,128.0,,76.0,107.0,,311.0
1070,E01001096,169.0,,109.0,,47.0,62.0,,387.0
1071,E01001097,170.0,61.0,125.0,119.0,80.0,167.0,,722.0
1072,E01001098,,,,,,38.0,,38.0
1073,E01001099,,,63.0,37.0,,111.0,,211.0
1074,E01001100,,79.0,,35.0,,44.0,,158.0
