LSOA,Anti Semitic,Disability,Faith,Homophobic,Islamophobic,Racist,Transgender,Total All Incidents,AntiSem_and_Islam,Faith_noIslamAntiSem
E01004626,162.0,36.0,133.0,110.0,34.0,161.0,86.0,722.0,196.0,-63.0
E01004627,0.0,37.0,0.0,34.0,0.0,84.0,0.0,155.0,0.0,0.0
E01004628,0.0,64.0,61.0,40.0,39.0,40.0,0.0,244.0,39.0,22.0
E01004629,0.0,0.0,71.0,77.0,38.0,127.0,0.0,313.0,38.0,33.0
E01004630,157.0,30.0,67.0,42.0,0.0,102.0,0.0,398.0,157.0,-90.0
E01004631,141.0,0.0,172.0,40.0,77.0,133.0,0.0,563.0,218.0,-46.0
E01004632,0.0,0.0,73.0,0.0,37.0,80.0,0.0,190.0,37.0,36.0
E01004633,0.0,36.0,0.0,36.0,0.0,78.0,0.0,150.0,0.0,0.0
E01004634,0.0,0.0,0.0,0.0,0.0,89.0,0.0,89.0,0.0,0.0
E01004635,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77.0,0.0,0.0
E01004636,0.0,36.0,58.0,0.0,40.0,44.0,0.0,178.0,40.0,18.0
E01004637,0.0,0.0,54.0,35.0,40.0,42.0,0.0,171.0,40.0,14.0
E01004638,147.0,0.0,61.0,0.0,0.0,85.0,0.0,293.0,147.0,-86.0
E01004639,154.0,0.0,56.0,32.0,0.0,117.0,0.0,359.0,154.0,-98.0
E01004640,0.0,0.0,0.0,0.0,0.0,84.0,0.0,84.0,0.0,0.0
E01004641,0.0,39.0,61.0,42.0,40.0,106.0,0.0,288.0,40.0,21.0
E01004642,0.0,0.0,0.0,34.0,0.0,40.0,0.0,74.0,0.0,0.0
E01004643,0.0,39.0,62.0,45.0,45.0,125.0,0.0,316.0,45.0,17.0
E01004644,0.0,78.0,67.0,36.0,36.0,164.0,71.0,452.0,36.0,31.0
E01004645,0.0,0.0,76.0,42.0,44.0,88.0,0.0,250.0,44.0,32.0
E01004646,278.0,0.0,190.0,39.0,47.0,68.0,33.0,655.0,325.0,-135.0
E01004647,455.0,0.0,234.0,40.0,42.0,159.0,0.0,930.0,497.0,-263.0
E01004648,167.0,39.0,111.0,37.0,39.0,69.0,0.0,462.0,206.0,-95.0
E01004649,0.0,0.0,133.0,44.0,35.0,120.0,0.0,332.0,35.0,98.0
E01004650,155.0,0.0,55.0,0.0,0.0,82.0,0.0,292.0,155.0,-100.0
E01004651,159.0,0.0,66.0,0.0,45.0,111.0,0.0,381.0,204.0,-138.0
E01004652,0.0,37.0,52.0,67.0,39.0,117.0,0.0,312.0,39.0,13.0
E01004653,153.0,0.0,73.0,75.0,0.0,70.0,0.0,371.0,153.0,-80.0
