,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
224,E01000231,148.0,35.0,0.0,0.0,146.0,0.0,-76.0,401.0
225,E01000232,358.0,0.0,0.0,0.0,131.0,0.0,-230.0,617.0
226,E01000233,658.0,0.0,0.0,40.0,198.0,0.0,-460.0,1134.0
227,E01000234,483.0,33.0,39.0,0.0,127.0,0.0,-304.0,861.0
228,E01000235,171.0,36.0,0.0,0.0,122.0,0.0,-126.0,374.0
229,E01000236,494.0,0.0,0.0,0.0,121.0,0.0,-321.0,788.0
230,E01000237,647.0,0.0,38.0,70.0,144.0,0.0,-477.0,1139.0
231,E01000238,456.0,0.0,0.0,38.0,110.0,0.0,-308.0,790.0
232,E01000239,297.0,0.0,35.0,41.0,112.0,0.0,-210.0,613.0
233,E01000240,332.0,0.0,0.0,77.0,149.0,0.0,-230.0,737.0
234,E01000241,322.0,0.0,0.0,0.0,80.0,0.0,-182.0,542.0
235,E01000242,469.0,34.0,0.0,42.0,146.0,0.0,-324.0,878.0
236,E01000243,598.0,36.0,0.0,43.0,214.0,0.0,-381.0,1151.0
237,E01000244,487.0,0.0,0.0,0.0,163.0,0.0,-306.0,831.0
238,E01000245,645.0,0.0,120.0,0.0,196.0,30.0,-393.0,1243.0
239,E01000246,0.0,0.0,0.0,48.0,42.0,0.0,23.0,161.0
240,E01000247,0.0,76.0,39.0,0.0,123.0,0.0,0.0,238.0
241,E01000248,166.0,31.0,41.0,79.0,118.0,39.0,-50.0,669.0
242,E01000249,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0
243,E01000250,151.0,37.0,39.0,45.0,192.0,0.0,-137.0,523.0
244,E01000251,160.0,40.0,32.0,35.0,87.0,0.0,-12.0,537.0
245,E01000252,158.0,0.0,0.0,0.0,79.0,0.0,-95.0,300.0
246,E01000253,433.0,0.0,123.0,0.0,113.0,0.0,-242.0,860.0
247,E01000254,0.0,0.0,0.0,37.0,69.0,0.0,23.0,166.0
248,E01000255,0.0,33.0,40.0,0.0,79.0,0.0,0.0,152.0
249,E01000256,483.0,84.0,0.0,40.0,125.0,0.0,-337.0,918.0
250,E01000257,353.0,37.0,68.0,0.0,128.0,0.0,-238.0,701.0
251,E01000258,331.0,35.0,0.0,0.0,129.0,0.0,-210.0,616.0
252,E01000259,179.0,0.0,0.0,77.0,114.0,0.0,-139.0,487.0
253,E01000260,161.0,0.0,0.0,42.0,124.0,0.0,-88.0,442.0
254,E01000261,487.0,0.0,0.0,36.0,114.0,0.0,-324.0,836.0
255,E01000262,155.0,0.0,0.0,0.0,83.0,0.0,-40.0,353.0
256,E01000263,142.0,0.0,0.0,0.0,41.0,0.0,-81.0,244.0
257,E01000264,501.0,71.0,43.0,48.0,150.0,0.0,-375.0,987.0
258,E01000265,157.0,32.0,41.0,73.0,76.0,0.0,-46.0,563.0
259,E01000266,0.0,33.0,0.0,0.0,123.0,0.0,0.0,156.0
260,E01000267,0.0,0.0,0.0,0.0,66.0,0.0,0.0,66.0
261,E01000268,322.0,0.0,0.0,41.0,196.0,43.0,-178.0,787.0
262,E01000269,146.0,0.0,0.0,0.0,163.0,0.0,-85.0,370.0
263,E01000270,153.0,0.0,0.0,0.0,32.0,0.0,-85.0,253.0
264,E01000271,142.0,0.0,44.0,0.0,116.0,0.0,-79.0,365.0
265,E01000272,317.0,0.0,0.0,0.0,131.0,0.0,-187.0,578.0
266,E01000273,337.0,81.0,48.0,23.0,121.0,0.0,-227.0,743.0
267,E01000274,311.0,41.0,0.0,34.0,152.0,0.0,-166.0,717.0
268,E01000275,0.0,0.0,0.0,44.0,38.0,0.0,23.0,149.0
269,E01000276,167.0,0.0,0.0,0.0,79.0,0.0,-107.0,306.0
270,E01000277,140.0,0.0,40.0,0.0,82.0,0.0,-72.0,330.0
271,E01000278,151.0,0.0,0.0,0.0,80.0,0.0,-95.0,287.0
272,E01000279,328.0,0.0,39.0,0.0,118.0,0.0,-201.0,612.0
273,E01000280,304.0,0.0,37.0,0.0,123.0,0.0,-183.0,585.0
274,E01000281,457.0,0.0,104.0,38.0,107.0,0.0,-300.0,901.0
275,E01000282,320.0,0.0,38.0,0.0,132.0,0.0,-203.0,607.0
276,E01000283,0.0,0.0,36.0,0.0,82.0,0.0,0.0,118.0
277,E01000284,314.0,0.0,33.0,0.0,155.0,0.0,-195.0,621.0
278,E01000285,0.0,29.0,0.0,0.0,76.0,0.0,0.0,105.0
279,E01000286,301.0,0.0,35.0,81.0,162.0,0.0,-213.0,748.0
280,E01000287,0.0,77.0,38.0,51.0,158.0,0.0,91.0,466.0
281,E01000288,0.0,38.0,0.0,0.0,69.0,0.0,0.0,107.0
282,E01000289,172.0,44.0,42.0,0.0,74.0,0.0,-113.0,391.0
283,E01000290,306.0,0.0,0.0,43.0,117.0,0.0,-215.0,600.0
284,E01000291,0.0,0.0,0.0,37.0,160.0,0.0,31.0,265.0
285,E01000292,302.0,0.0,0.0,68.0,161.0,0.0,-121.0,780.0
286,E01000293,153.0,0.0,0.0,0.0,76.0,0.0,-96.0,286.0
287,E01000294,0.0,34.0,42.0,0.0,40.0,0.0,0.0,116.0
288,E01000295,148.0,0.0,46.0,0.0,123.0,0.0,-91.0,374.0
289,E01000296,504.0,124.0,82.0,113.0,204.0,0.0,-361.0,1283.0
290,E01000297,0.0,28.0,0.0,0.0,36.0,0.0,0.0,64.0
291,E01000298,169.0,34.0,31.0,38.0,108.0,41.0,-143.0,485.0
292,E01000299,156.0,77.0,39.0,116.0,208.0,0.0,-102.0,766.0
293,E01000300,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0
294,E01000301,168.0,0.0,0.0,0.0,35.0,0.0,-104.0,267.0
295,E01000302,484.0,0.0,0.0,37.0,159.0,0.0,-329.0,872.0
296,E01000303,151.0,33.0,0.0,0.0,41.0,0.0,-94.0,282.0
297,E01000304,161.0,0.0,0.0,0.0,83.0,0.0,-100.0,305.0
298,E01000305,149.0,0.0,0.0,37.0,162.0,0.0,-61.0,473.0
299,E01000306,0.0,39.0,0.0,74.0,83.0,0.0,48.0,318.0
300,E01000307,305.0,30.0,76.0,124.0,156.0,31.0,-239.0,912.0
301,E01000308,151.0,0.0,35.0,83.0,116.0,0.0,-108.0,511.0
302,E01000309,310.0,0.0,33.0,0.0,89.0,0.0,-171.0,571.0
303,E01000310,781.0,0.0,40.0,37.0,189.0,0.0,-526.0,1339.0
304,E01000311,429.0,0.0,0.0,0.0,161.0,0.0,-254.0,765.0
305,E01000312,0.0,0.0,0.0,0.0,83.0,0.0,0.0,83.0
306,E01000313,165.0,41.0,77.0,92.0,125.0,0.0,-127.0,630.0
307,E01000314,314.0,0.0,0.0,0.0,109.0,0.0,-189.0,548.0
308,E01000315,0.0,0.0,40.0,79.0,122.0,43.0,44.0,407.0
309,E01000316,303.0,86.0,0.0,105.0,114.0,0.0,-113.0,903.0
310,E01000317,285.0,0.0,0.0,40.0,129.0,0.0,-190.0,589.0
311,E01000318,161.0,0.0,0.0,44.0,202.0,0.0,-92.0,520.0
312,E01000319,491.0,0.0,0.0,47.0,122.0,0.0,-358.0,840.0
313,E01000320,175.0,0.0,42.0,0.0,118.0,0.0,-128.0,382.0
314,E01000321,306.0,32.0,0.0,47.0,114.0,0.0,-176.0,676.0
315,E01000322,148.0,73.0,83.0,0.0,73.0,0.0,-82.0,443.0
316,E01000323,483.0,82.0,134.0,41.0,150.0,0.0,-281.0,1133.0
317,E01000324,0.0,0.0,33.0,50.0,38.0,0.0,3.0,174.0
318,E01000325,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0
319,E01000326,0.0,0.0,38.0,0.0,110.0,0.0,0.0,148.0
320,E01000327,0.0,0.0,0.0,39.0,112.0,0.0,15.0,205.0
321,E01000328,0.0,39.0,43.0,0.0,81.0,0.0,0.0,163.0
322,E01000329,163.0,0.0,40.0,40.0,120.0,0.0,-148.0,418.0
323,E01000330,0.0,0.0,127.0,0.0,127.0,0.0,0.0,254.0
324,E01000331,0.0,0.0,42.0,0.0,121.0,0.0,0.0,163.0
325,E01000332,0.0,0.0,0.0,0.0,39.0,30.0,0.0,69.0
326,E01000333,0.0,0.0,38.0,0.0,126.0,0.0,0.0,164.0
327,E01000334,0.0,0.0,0.0,0.0,84.0,0.0,53.0,137.0
328,E01000335,146.0,0.0,45.0,0.0,165.0,0.0,-83.0,419.0
329,E01000336,0.0,0.0,46.0,40.0,107.0,0.0,19.0,252.0
330,E01000337,0.0,0.0,76.0,0.0,44.0,0.0,0.0,120.0
331,E01000338,0.0,0.0,82.0,0.0,118.0,0.0,0.0,200.0
332,E01000339,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0
333,E01000340,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0
334,E01000341,0.0,0.0,33.0,0.0,37.0,0.0,0.0,70.0
335,E01000342,0.0,0.0,39.0,0.0,81.0,0.0,0.0,120.0
336,E01000343,0.0,0.0,37.0,0.0,71.0,0.0,0.0,108.0
337,E01000344,0.0,0.0,0.0,0.0,107.0,0.0,0.0,107.0
338,E01000346,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0
339,E01000347,0.0,0.0,46.0,44.0,68.0,0.0,9.0,211.0
340,E01000348,0.0,0.0,0.0,0.0,78.0,0.0,0.0,78.0
341,E01000349,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0
342,E01000350,0.0,0.0,34.0,0.0,47.0,0.0,0.0,81.0
343,E01000351,0.0,0.0,0.0,0.0,76.0,0.0,0.0,76.0
344,E01000352,0.0,0.0,33.0,0.0,87.0,0.0,0.0,120.0
345,E01000353,0.0,0.0,0.0,0.0,118.0,0.0,0.0,118.0
346,E01000354,0.0,31.0,0.0,0.0,68.0,0.0,71.0,170.0
347,E01000355,0.0,0.0,0.0,0.0,85.0,0.0,0.0,85.0
348,E01000356,0.0,38.0,0.0,0.0,79.0,0.0,66.0,183.0
